Product Name,Price,Rate
Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,149.,
"SAMSUNG Galaxy A14 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 64GB w/Expandable Storage, Long Battery Life, 13MP Camera, 6.6"" Infinite Display Screen, US Version, 2023, Black",195.,
"SAMSUNG Galaxy A14 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6"" 50MP Triple Camera + (15W Wall Charger) (Black (SM-A145M/DS))",138.,
Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal,314.,
"TCL 40XL 2023 Unlocked Cell Phone 4GB + 128GB, 6.75"" 90Hz Display, Smartphone Android 13, 50MP AI Camera Mobile Phone, 5000 mAh, 4G LTE, US Version, Dark Gray",118.,
"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Black",399.,
"AT&T CL82407 DECT 6.0 4-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Silver",87.,
"Panasonic Cordless Phone with Advanced Call Block, Link2Cell Bluetooth, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 5 Handsets - KX-TGF975B (Black with Silver Trim)",179.,
"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed)",283.,
Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,499.,
Motorola Moto G Stylus | 2022 | 2-Day Battery | Unlocked | Made for US 4/128GB | 50MP Camera | Twilight Blue,129.,
"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Phantom Black",999.,
Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,,
"VTech SN5147 Amplified Corded/Cordless Senior Phone with Answering Machine, Call Blocking, 90dB Extra-loud Visual Ringer, One-touch Audio Assist on Handset up to 50dB, White",78.,
"Panasonic Cordless Phone with Answering Machine, Link2Cell Bluetooth, Voice Assistant and Advanced Call Blocking, Expandable System with 4 Handsets - KX-TGD864W (White)",119.,
BLU G61S | 2023 | 3-Day Battery | Unlocked| 6.5” HD+ Display | US Warranty| 64/4GB | (Bronze),79.,
"SAMSUNG Galaxy S23 Cell Phone, Factory Unlocked Android Smartphone, 128GB, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Phantom Black",749.,
Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB -  Sea,499.,
Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,149.,
"SAMSUNG Galaxy A14 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 64GB w/Expandable Storage, Long Battery Life, 13MP Camera, 6.6"" Infinite Display Screen, US Version, 2023, Black",195.,
"SAMSUNG Galaxy A14 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6"" 50MP Triple Camera + (15W Wall Charger) (Black (SM-A145M/DS))",138.,
Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal,314.,
"TCL 40XL 2023 Unlocked Cell Phone 4GB + 128GB, 6.75"" 90Hz Display, Smartphone Android 13, 50MP AI Camera Mobile Phone, 5000 mAh, 4G LTE, US Version, Dark Gray",118.,
"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Black",399.,
"AT&T CL82407 DECT 6.0 4-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Silver",87.,
"Panasonic Cordless Phone with Advanced Call Block, Link2Cell Bluetooth, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 5 Handsets - KX-TGF975B (Black with Silver Trim)",179.,
"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed)",283.,
Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,499.,
Motorola Moto G Stylus | 2022 | 2-Day Battery | Unlocked | Made for US 4/128GB | 50MP Camera | Twilight Blue,129.,
"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Phantom Black",999.,
Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,,
"VTech SN5147 Amplified Corded/Cordless Senior Phone with Answering Machine, Call Blocking, 90dB Extra-loud Visual Ringer, One-touch Audio Assist on Handset up to 50dB, White",78.,
"Panasonic Cordless Phone with Answering Machine, Link2Cell Bluetooth, Voice Assistant and Advanced Call Blocking, Expandable System with 4 Handsets - KX-TGD864W (White)",119.,
BLU G61S | 2023 | 3-Day Battery | Unlocked| 6.5” HD+ Display | US Warranty| 64/4GB | (Bronze),79.,
"SAMSUNG Galaxy S23 Cell Phone, Factory Unlocked Android Smartphone, 128GB, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Phantom Black",749.,
Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB -  Sea,499.,
